nome,grupo_muscular,equipamento,composto,convencao_de_carga,incremento_kg
Supino reto com barra,Peito,barra,1,total,2.5
Supino inclinado com barra,Peito,barra,1,total,2.5
Supino declinado com barra,Peito,barra,1,total,2.5
Supino reto com halteres,Peito,halteres,1,por_halter,2
Supino inclinado com halteres,Peito,halteres,1,por_halter,2
Crucifixo reto com halteres,Peito,halteres,0,por_halter,2
Crucifixo inclinado com halteres,Peito,halteres,0,por_halter,2
Crucifixo na máquina,Peito,máquina,0,total,5
Crossover na polia,Peito,polia,0,total,5
Supino na máquina,Peito,máquina,1,total,5
Flexão de braço,Peito,peso corporal,1,peso_corporal,2.5
Paralelas,Peito,peso corporal,1,peso_corporal,2.5
Barra fixa pronada,Costas,peso corporal,1,peso_corporal,2.5
Barra fixa supinada,Costas,peso corporal,1,peso_corporal,2.5
Puxada frontal na polia,Costas,polia,1,total,5
Puxada supinada na polia,Costas,polia,1,total,5
Puxada triângulo,Costas,polia,1,total,5
Remada curvada com barra,Costas,barra,1,total,2.5
Remada cavalinho,Costas,barra,1,total,2.5
Remada unilateral com halter,Costas,halteres,1,por_halter,2
Remada baixa na polia,Costas,polia,1,total,5
Remada na máquina,Costas,máquina,1,total,5
Pulldown com braço estendido,Costas,polia,0,total,5
Levantamento terra,Costas,barra,1,total,2.5
Levantamento terra romeno,Posterior,barra,1,total,2.5
Desenvolvimento com barra,Ombros,barra,1,total,2.5
Desenvolvimento com halteres,Ombros,halteres,1,por_halter,2
Desenvolvimento na máquina,Ombros,máquina,1,total,5
Elevação lateral com halteres,Ombros,halteres,0,por_halter,2
Elevação lateral na polia,Ombros,polia,0,total,5
Elevação frontal com halteres,Ombros,halteres,0,por_halter,2
Crucifixo inverso na máquina,Ombros,máquina,0,total,5
Crucifixo inverso com halteres,Ombros,halteres,0,por_halter,2
Remada alta com barra,Ombros,barra,1,total,2.5
Encolhimento com barra,Trapézio,barra,0,total,2.5
Encolhimento com halteres,Trapézio,halteres,0,por_halter,2
Rosca direta com barra,Bíceps,barra,0,total,2.5
Rosca direta com barra W,Bíceps,barra,0,total,2.5
Rosca alternada com halteres,Bíceps,halteres,0,por_halter,2
Rosca martelo,Bíceps,halteres,0,por_halter,2
Rosca concentrada,Bíceps,halteres,0,por_halter,2
Rosca scott,Bíceps,barra,0,total,2.5
Rosca na polia,Bíceps,polia,0,total,5
Rosca inversa,Antebraço,barra,0,total,2.5
Rosca de punho,Antebraço,barra,0,total,2.5
Tríceps testa com barra W,Tríceps,barra,0,total,2.5
Tríceps na polia com barra,Tríceps,polia,0,total,5
Tríceps na polia com corda,Tríceps,polia,0,total,5
Tríceps francês com halter,Tríceps,halteres,0,por_halter,2
Tríceps coice,Tríceps,halteres,0,por_halter,2
Mergulho no banco,Tríceps,peso corporal,1,peso_corporal,2.5
Supino fechado,Tríceps,barra,1,total,2.5
Agachamento livre,Quadríceps,barra,1,total,2.5
Agachamento frontal,Quadríceps,barra,1,total,2.5
Agachamento no Smith,Quadríceps,smith,1,total,2.5
Agachamento hack,Quadríceps,máquina,1,total,5
Leg press 45,Quadríceps,máquina,1,total,5
Cadeira extensora,Quadríceps,máquina,0,total,5
Afundo com halteres,Quadríceps,halteres,1,por_halter,2
Búlgaro com halteres,Quadríceps,halteres,1,por_halter,2
Passada com barra,Quadríceps,barra,1,total,2.5
Mesa flexora,Posterior,máquina,0,total,5
Cadeira flexora,Posterior,máquina,0,total,5
Stiff com halteres,Posterior,halteres,1,por_halter,2
Bom dia,Posterior,barra,1,total,2.5
Elevação pélvica,Glúteos,barra,1,total,2.5
Coice na polia,Glúteos,polia,0,total,5
Abdução na máquina,Glúteos,máquina,0,total,5
Adução na máquina,Quadríceps,máquina,0,total,5
Panturrilha em pé,Panturrilha,máquina,0,total,5
Panturrilha sentado,Panturrilha,máquina,0,total,5
Panturrilha no leg press,Panturrilha,máquina,0,total,5
Abdominal supra,Abdômen,peso corporal,0,peso_corporal,2.5
Abdominal na polia,Abdômen,polia,0,total,5
Elevação de pernas suspenso,Abdômen,peso corporal,0,peso_corporal,2.5
Prancha,Abdômen,peso corporal,0,peso_corporal,2.5
